,Date,Close,Volume,Dividends,Stock Splits,Ticker,Date_time
0,2010-06-29,4.7779998779296875,93831500.0,0.0,0.0,TSLA,2010-06-29
1,2010-06-30,4.765999794006348,85935500.0,0.0,0.0,TSLA,2010-06-30
2,2010-07-01,4.392000198364258,41094000.0,0.0,0.0,TSLA,2010-07-01
3,2010-07-02,3.8399999141693115,25699000.0,0.0,0.0,TSLA,2010-07-02
4,2010-07-06,3.2219998836517334,34334500.0,0.0,0.0,TSLA,2010-07-06
5,2010-07-07,3.1600000858306885,34608500.0,0.0,0.0,TSLA,2010-07-07
6,2010-07-08,3.492000102996826,38557000.0,0.0,0.0,TSLA,2010-07-08
7,2010-07-09,3.4800000190734863,20253000.0,0.0,0.0,TSLA,2010-07-09
8,2010-07-12,3.4100000858306885,11012500.0,0.0,0.0,TSLA,2010-07-12
9,2010-07-13,3.628000020980835,13400500.0,0.0,0.0,TSLA,2010-07-13
10,2010-07-14,3.9679999351501465,20976000.0,0.0,0.0,TSLA,2010-07-14
11,2010-07-15,3.9779999256134033,18699000.0,0.0,0.0,TSLA,2010-07-15
12,2010-07-16,4.127999782562256,13106500.0,0.0,0.0,TSLA,2010-07-16
13,2010-07-19,4.381999969482422,12432500.0,0.0,0.0,TSLA,2010-07-19
14,2010-07-20,4.059999942779541,9126500.0,0.0,0.0,TSLA,2010-07-20
15,2010-07-21,4.044000148773193,6262500.0,0.0,0.0,TSLA,2010-07-21
16,2010-07-22,4.199999809265137,4789000.0,0.0,0.0,TSLA,2010-07-22
17,2010-07-23,4.257999897003174,3268000.0,0.0,0.0,TSLA,2010-07-23
18,2010-07-26,4.190000057220459,4611000.0,0.0,0.0,TSLA,2010-07-26
19,2010-07-27,4.110000133514404,3098500.0,0.0,0.0,TSLA,2010-07-27
20,2010-07-28,4.144000053405762,2336000.0,0.0,0.0,TSLA,2010-07-28
21,2010-07-29,4.070000171661377,3080000.0,0.0,0.0,TSLA,2010-07-29
22,2010-07-30,3.98799991607666,2134500.0,0.0,0.0,TSLA,2010-07-30
23,2010-08-02,4.184000015258789,3590500.0,0.0,0.0,TSLA,2010-08-02
24,2010-08-03,4.389999866485596,6152500.0,0.0,0.0,TSLA,2010-08-03
25,2010-08-04,4.251999855041504,4565000.0,0.0,0.0,TSLA,2010-08-04
26,2010-08-05,4.090000152587891,3981000.0,0.0,0.0,TSLA,2010-08-05
27,2010-08-06,3.9179999828338623,3709500.0,0.0,0.0,TSLA,2010-08-06
28,2010-08-09,3.9200000762939453,4063500.0,0.0,0.0,TSLA,2010-08-09
29,2010-08-10,3.805999994277954,6406500.0,0.0,0.0,TSLA,2010-08-10
30,2010-08-11,3.5799999237060547,3988000.0,0.0,0.0,TSLA,2010-08-11
31,2010-08-12,3.5199999809265137,3455000.0,0.0,0.0,TSLA,2010-08-12
32,2010-08-13,3.6640000343322754,3170000.0,0.0,0.0,TSLA,2010-08-13
33,2010-08-16,3.75600004196167,2429000.0,0.0,0.0,TSLA,2010-08-16
34,2010-08-17,3.8299999237060547,2239500.0,0.0,0.0,TSLA,2010-08-17
35,2010-08-18,3.753999948501587,3006500.0,0.0,0.0,TSLA,2010-08-18
36,2010-08-19,3.757999897003174,2895500.0,0.0,0.0,TSLA,2010-08-19
37,2010-08-20,3.819999933242798,1480000.0,0.0,0.0,TSLA,2010-08-20
38,2010-08-23,4.026000022888184,5440500.0,0.0,0.0,TSLA,2010-08-23
39,2010-08-24,3.8399999141693115,3365500.0,0.0,0.0,TSLA,2010-08-24
40,2010-08-25,3.9800000190734863,2516500.0,0.0,0.0,TSLA,2010-08-25
41,2010-08-26,3.950000047683716,2169000.0,0.0,0.0,TSLA,2010-08-26
42,2010-08-27,3.940000057220459,1898000.0,0.0,0.0,TSLA,2010-08-27
43,2010-08-30,3.9739999771118164,3664000.0,0.0,0.0,TSLA,2010-08-30
44,2010-08-31,3.8959999084472656,1005500.0,0.0,0.0,TSLA,2010-08-31
